"Sr No","Blood Bank Name",State,District,City,Address,Pincode,"Contact No",Mobile,Helpline,Fax,Email,Website
578,"City Blood Bank",Haryana,BHIWANI,Bhiwani,"Circular Road, Bhiwani",0,,0,,,,
579,"Gold Field Hospital and Research Centre",Haryana,FARIDABAD,Ballabgarh,"Village and post office Chhainsa, Ballabgarh, Faridabad.",121004,"0129 2209395, 0129 2209390 ",8814899239,,,goldfieldbloodbank@gmail.com,
580,"Badshah Khan General Hospital Blood Bank",Haryana,FARIDABAD,Faridabad,"New Industrial Township, Faridabad",121001,"0129 2411881",9999132742,,,rbtcfaridabad@gmail.com,
581,"Escorts Hospital and Research Center Limited Blood Bank",Haryana,FARIDABAD,Faridabad,"Neelam Bata Road, NIT Faridabad.",121001,"0129 2466022, 0129 2466020",9818277538,,,"bloodbank.fbd@fortishealthcare.com, satya.sharma1@fortishealthcare.com",
582,"M/s Sunflag Hospital and Research Centre Blood Bank",Haryana,FARIDABAD,Faridabad,"M/s Sunflag Hospital and Research Centre, Sector-16A,  Faridabad",121001,"0129 4199156, 0129 4199159",9910605254,,,sunflagbloodbank@gmail.com,
583,"Sarvodaya Hospital and Research Centre",Haryana,FARIDABAD,Faridabad,"YMCA Road, Sector-8, Near ESI Hospital, Faridabad",121006,0129-4184444,9910726654,,,nem.5@sarvodyahospital.com,http://www.sarvodayahospital.com/
584,"QRG Central Hospital and Research Centre Blood Bank",Haryana,FARIDABAD,Faridabad,"69, Delhi Mathura Road, Near Neelam Flyover, Ajronda Chowk, Sector 20 A,",121001,"0129 4090300 (Extn. 1956, 1958, 1962)",8826533714,,,qrgcentralhospital150@gmail.com,http://www.qrgmedicare.com/central/
585,"Sant Bhagat Singh Maharaj Ji Charitable Hospital Blood Bank",Haryana,FARIDABAD,Faridabad,"No - 1697, K Block, NIT, Faridabad,
",121001,"0129 402 9070",0,,,rbbfbd@gmail.com,
586,"Asian Institute of Medical Sciences Blood Bank",Haryana,FARIDABAD,Faridabad,"Badkhal Flyover Road, Sector 21-A, Faridabad",121001,"0129 4253196, 01294253197",9650099052,1067,,"uma.rani@aimsindiaco.in, blood.bank@aimsindiaco.in",http://www.aimsindia.com
587,"Metro Heart Institute with Multispecialty",Haryana,FARIDABAD,Faridabad,"(A Unit of Metro Speciality Hospitals Private Limited) Sector 16A, Near Sunflag Hospital, Faridabad",121002,"0129 4277777",9818538609,,"0129  4277777",drmeenu.pujani@metrohospitalfaridabad.com,http://www.metrohospitalfaridabad.com
588,"General Hospital Blood Bank Fatehabad",Haryana,FATEHABAD,Fatehabad,"District Blood Tranfusion Center, General Hospital 
Fatehabad",125050,01667-222443,9991290062,,,drprachi2@rediffmail.com,
589,"Jagdambe Blood Bank",Haryana,FATEHABAD,Tohana,"Aggarwal Hospital, Kali Mandir Road, Bhatia Nagar, Tohana, Near Ram Bhawan",125120,"01692 230692",9416047692,,,dr.ijaggarwal@gmail.com,
590,"Paras Health Care Private Limited Blood Bank",Haryana,GURGAON,Gurugram,"C-1, Sushant Lok City, Phase I, Sector 43, Gurgaon",122002,"0124 4585555",9560409969,,"0124 458555, 0124 458500, 0124 458627",bloodbank@parashospitals.com,http://www.parashealthcare.com
591,"Artemis Medicare Services Limited Blood Bank",Haryana,GURGAON,Gurugram,"Artemis Hospital, Sector-51, Gurugram",122001,"0124-6767999,  0124 676 7000",9716122245,,,transfusion.medicine@artemishealthsciences.com,http://www.artemishospitals.com/
592,"Medanta The Medicity Hospital Blood Bank",Haryana,GURGAON,Gurugram,"CH Baktawar Singh Road, Sector 38, Gurugram,",122001,"0124 4141414  Extn 2701",9971183331,,,"aseem.tiwari@medanta.org, ganesh.rawat@medanta.org",http://www.medanta.org/
593,"Alchemist Institute of Medical Sciences Blood Bank",Haryana,GURGAON,Gurugram,"Alchemist Institute of Medical Sciences (A Unit of Alchemist Hospitals Limited) DLF Golf Course Road, Sector-53, Saraswati Kunj",122002,"0124 4511111",0,,4511111,bloodbank.aims@alchemisthospitals.com,http://www.alchemisthospitals.com/
594,"SGT Medical College Hospital and Research Institute Blood Bank ",Haryana,GURGAON,Gurugram,"Near Sultanpur Bird Sanctuary, Village Budhera, Gurugram, ",122505,"0124-2278186,  0124 227 8256",8587046950,,,Bloodbank@sgtuniversity.org,http://www.sgtmedicalcollege.org/
595,"Park Hospital Blood Bank",Haryana,GURGAON,Gurugram,"Q Block, South City 2, Sohna Road, Main Sec-47, ",122001,"01244900037, 0124490038",8802141414,"1800 102 6767, 0124 -4900000",0124-2218733,"raj1963_kanwar@yahoo.com, parkmedicenters@gmail.com",https://www.parkhospital.in/
596,"Fortis Memorial Research Institute Blood Bank",Haryana,GURGAON,Gurugram,"A unit of Fortis Hospitals Limited, Sector - 44, Opposite HUDA City Centre, Gurugram",122002,"0124 4962244, 0124 716 2200",8376908523,,,bloodbank.fmri@fortishealthcare.com,https://www.fmri.in/
597,"Fortis Memorial Research Institute Blood Bank",Haryana,GURGAON,Gurugram,"Fortis Memorial Research Institute, Sector-44, Opposite HUDA City Centre, Gurgaon",122002,"0124 4962251, 01247162200",8587099908,,,fmri@fortishealthcare.,
598,"General Hospital Blood Bank, Gurugram",Haryana,GURGAON,Gurugram,"Near Bus Stand, Opposite MCG, Gurugram",122001,"0124 2310102",9868822200,,,dhs.csgur@gmail.com,
599,"Umkal Blood Bank",Haryana,GURGAON,Gurugram,"H-Block, Palam Vihar, Opposite To Chancellor Club
Near Chiranjiv Bharti Public school",122017,0124-4777000,0,,,anuphoora65@gmail.com,
600,"VPS Rockland Hospital Blood bank",Haryana,GURGAON,Gurugram,"Plot No. 2, Sector 5, IMT Manesar, Gurugram
opposite Raheja square",122051,1244755555,9650319955,,,bloodbank.manesar@rocklandhospital.com,
601,"Columbia Asia Hospital - Palam Vihar, Blood Bank",Haryana,GURGAON,Gurugram,"Block F, Gol Chakkar, Near Ansal Plaza Mall, Palam Vihar, ",122017,"0124 398 9896, 0124 616 5666",0,,"0124 302 2022",,http://india.columbiaasia.com/hospitals/palam-vihar
602,"Paras Hospital Blood Bank",Haryana,GURGAON,Gurugram,"C-1 Sushant Lok- 1 Sector-43 Phase- I
",122002,"0124-4585500, 0124-4585627",0,0124-4585555,0124-4585572,bloodbank@parashospitals.com,https://www.parashospitals.com/
603,"Nalwa Pathology and Microbiology Laboratory Blood Bank",Haryana,HISAR,Hisar,"SCF-83, Commercial UE-1, Red Square market",125001,"01662-236218, 01662 230699",9812030669,,,"nawlalab@gmail.com, navtejnalwa@gmail.com",
604,"Central Medical Centre (CMC) Hospital Blood Bank",Haryana,HISAR,Hisar,"Near Dabra Chowk Over Bridge, Hisar",125001,"01662 237476, 01662 232360",88138,1800-1203-2360,"1662- 232360","cmchospitalhisar@gmail.com, cmchospitalhisar@hotmail.com",http://cmchospitalhisar.com/
605,"Haryana Blood Bank",Haryana,HISAR,Hisar,"16, Model Town, NearJjindal Hospital ",125001,"0166 2221740",9996663336,,,"haryanabloodbankhisar@gmail.com, director.edumate@gmail.com",
606,"Manglam Blood Bank",Haryana,HISAR,Hisar,"No 139, NH10-Tosham Road Connection Road, New Model Town, Jindal Hospital Road, ",125005,"01662 248767, 01662223367",9254222767,,,manglam0578@gmail.com,
607,"Hisar Blood Bank",Haryana,HISAR,Hisar,Hisar,0,"01662 33291",9896036321,,,kalra_lab@yahoo.com,
608,"Dr. Anant Ram Janta Hospital Blood Bank",Haryana,HISAR,Hisar,"Hospital Road, Hisar, Barwala",125121,"0169 324 2096",9416042096,,,dranantram_b@yahoo.com,
609,"National Blood Bank, Kharab Hospital Blood Bank",Haryana,HISAR,Hisar,"47, Near Budhla Sant Mandir, Rishi nagar, ",125008,"01662 225900",0,,,mk885200@gmail.com,
610,"Sarvodaya Blood Bank services",Haryana,HISAR,Hisar,"Sravodaya Multi Speciality Hospital 
Opp. Red Cross Bhawan, Delhi Road, Hisar",125001,"0166 223 1031",8572096543,,01662-231010,"uk.sarvodaya@gmail.com, nem.s@sarvodayahospital.com",http://sarvodayahealthcare.co.in/
611,"General Hospital Blood Bank Hisar",Haryana,HISAR,Hisar,"Civil Hospital Blood Bank, Near Bus Stand ",125001,"01662 275566",9468248136,,,drjoginderkapoor1962@gmail.com,
612,"Maharaja Agrasen Medical College, Agroha, Blood Bank",Haryana,HISAR,Hisar/Agroha,"Opp. Agroha Dham",125047,"01669-281193/94 (Ext. 225)",0," 01669-281193/94 ",01669-281176,bloodbank@mamc.edu.in,http://www.mamc.edu.in/
613,"General Hospital Blood Bank Jhajjar",Haryana,JHAJJAR,Jhajjhar,"Model Town",124103,"01251 252410",9729078039,,,dhs.csjjr@hry.nic.in,
614,"General Hospital Blood Bank Jind",Haryana,JIND,Jind,"Civil Hospital, DC Colony",126102,"01681 245454",9416139660,,,"msghjind10@gmail.com, jaikumar.mann@gmail.com, bloodbankghjind@gmail.com",
615,"National Blood Bank",Haryana,JIND,Jind,"Kharab Hospital, Gohana Road, Jind",0,,0,,,,
616,"Gangaputra Hospital and Research Centre Blood Bank",Haryana,JIND,Kandela,"Kaithal Road, Kandela",126102,"01681 237238",9871804058,,,lohamalewa@gmail.com,
617,"Smt. Indira Gandhi Government Multispeciality Blood Bank",Haryana,KAITHAL,Kaithal,"G. H. Sector-18, Bypass Road, Near bus stand, Kaithal By pass",136027,,9416121227,,,"Bloodbankghktl@gmail.com, gulabsungroya@gmail.com",
618,"Haryana Institute of Medical Sciences (HIMS) Hospital Blood Bank",Haryana,KAITHAL,Kaithal,"NH-152, Village-Ujhana, Ambala Road, Kaithal",0,,0,,,hims.ktl@gmail.com,
619,"Kapisthal Blood Bank",Haryana,KAITHAL,Kaithal,"Plot No. 11, Rishi Nagar, Kaithal
Karnal Road
",136027,"01746-234874, 01746 226874",0,,,kapisthalbloodbank123@gmail.com,
620,"General Hospital Blood Bank Karnal",Haryana,KARNAL,Karnal,"Old Court Road, Karnal",132001,"0184 2268899",9466119091,,,rbtcghknl@gmail.com,
621,"Nirmal Institute of Medical Sciences and Technology Blood Bank",Haryana,KARNAL,Karnal,"69, Jarnally Colony, Opposite Kalpana Chawla Medical College, Karnal.",132001,"0184 2201999, 0184 2202999",9991455777,,,nims1999@gmail.com,
622,"Pandit Ram Prakash Hospital and Kidney Centre Blood Bank",Haryana,KARNAL,Karnal,"Civil Hospital Road, Karnal",132001,"0184 2252401, ",9416130301,,,"gd.sharma@rediffmail.com, balwinderkumar175@gmail.com",
623,"Save Life Blood Bank",Haryana,KARNAL,Karnal,"16, Jarnally Colony, 1st floor, Opposite to General Hospital, Karnal",132001,"0184 2207557, 0184 2207558",9896217504,,,sikkalab@gmail.com,
624,"LNJP District Government Hospital Blood Bank ",Haryana,KURUKSHETRA,Kurukshetra," Thanesar, Kurukshetra, SH-6, Kaithal Kurukshetra Road, ",136118,"0174 429 2716, 01744 293580, 01744 290344",9467734580,,,"mnjt1972@yahoo.co.in, cskkr@gmail.com",
625,"Kurukshetra Blood Bank",Haryana,KURUKSHETRA,Kurukshetra,"SCO.07-08 BASMENT,  Near LIC Building",136118,"01744 291914, 01744232010",9355231078,,,"kbloodbankk@gmail.com, sushaadkunj@gmail.com",
626,"Adesh Blood Bank",Haryana,KURUKSHETRA,Kurukshetra,"NH - 1, Near Ambala Cantt., Village Mohri, TEHSIL. SHAHBAD (M)",136135,"01744-332000, 332001, 332002",0,,,,http://amch.ac.in/
627,"Civil Hospital Narnaul ",Haryana,MAHENDRAGARH,Narnaul,"New Mohalla Mandi, Narnaul",123001,01282-254288,9812198175,,,bloodbankghnarula@gmail.com,
628,"General Hospital Blood Bank Mandikhera",Haryana,MEWAT,Mandikhera,"Mandikhera, Mewat",122108,1268661022,0,,,bbghcsmwt@gmail.com,
629,"Shaheed Hasan Khan Mewati Government Medical College Blood Bank  ",Haryana,MEWAT,Nuh,"Nalhar, Tehsil Nuh, Mewat",122107,"01267 282007",9416731609,,,gmcmewat@gmail.com,http://www.gmcmewat.ac.in/
630,"Diamond Blood Bank LLT",Haryana,PALWAL,Palwal,"Om premia Hospital, 56 km Stone,NH-2, Delhi Mathura Road, Palwal, Faridabad",121102,"01275 240240",9899207036,,,bloodbank@ompremiahospital.com,
631,"General Hospital Blood Bank Palwal",Haryana,PALWAL,Palwal,"New Sohna Road",121102,"01275 240099",9813389010,,,bloodbankpalwal@gmail.com,
632,"Command Hospital Blood Bank",Haryana,PANCHKULA,Panchkula,"Chandimandir Cantonment, Panchkula",134109,,80908,,,,
633,"Alchemist Hospital Panchkula Blood Bank",Haryana,PANCHKULA,Panchkula,"Sector 21, Panchkula",134112,"0172-7122960, 0172-7122967, 0172 7122966, 0172 7122967",9780887019,,,"bloodbank@alchemisthospitals.com, gp.saluja@alchemisthosptals.com",http://www.alchemisthospitals.com/
634,"District Hospital Panchkula Blood Bank",Haryana,PANCHKULA,Panchkula,"Civil Hospital Blood Bank, Sector 6",134109,"0172 256 7228",9876058060,,,bbghpkl@gmail.com,
635,"N.C. Medical College and Hospital Blood Bank",Haryana,PANIPAT,Israna,"N.C. Medical College and Hospital, Panipat-Rohtak Road, Israna, Panipat",0,,0,,,info@sdctrust.org,
636,"Red Cross Blood Bank",Haryana,PANIPAT,Panipat,"Indian Red Cross Society, Red Cross Bhawan, G.T. Road",132103,"0180 4002049",90340,,,redcrosssocietypnp@gmail.com,
637,"Prem Blood Bank",Haryana,PANIPAT,Panipat,"A unit of Lala Harbhagwan Dass Memorial & Dr. Prem Hospital Pvt. Ltd., Bishan Sarop Colony, Opp Bus Stand, ",132103,"0180 2697191, 0180 2635900, 01804008431",7206403131,8295300191,,"premhospitaldr@gmail.com, admin@drpremhospital.com",http://www.drpremhospital.com/
638,"Bharat Blood Bank",Haryana,PANIPAT,Panipat,"467-D/4, West Press Colony, Near Bust Stand, Sukhdev Nagar",132103," 0180 4019800",9416200014,,,bloodbank.bharat@gmail.com,
639,"Panipat Blood Bank",Haryana,PANIPAT,Panipat,"332-R Model Town, Near Ramlal Chowk",132103,"0180 4011150, 01802697887",9416016332,,,"bkgupta35@gmail.com, ishakanavgupta@gmail.com",
640,"Cygnus Maharaja Aggarsain Hospital Blood Bank",Haryana,PANIPAT,Panipat,"Desraj Colony,Devi Mandir Area",132103,,8222000942,,,bloodbank.cygnus@gmail.com,
641,"Rewari Blood Bank",Haryana,REWARI,Rewari,"Shree Krishna Medical And Social Welfare Society, 53-RL, Model Town",123401,"01274 222607, 01274 222955",9416063101,,,"narendraastha@gmail.com, rewaribloodbank@rediffmail.com",
642,"General Hospital Rewari Blood Bank",Haryana,REWARI,Rewari,"Room No. 16, Government / Civil Hospital Blood Bank,  
Kayasthwara Mohalla, ",123401,"01274 253101,  01274 254 743",9416194222,,,bloodbankghrewari@gmail.com,
643,"Bharti Blood Bank",Haryana,REWARI,Rewari,Rewari,0,,0,,,,
644,"Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences (PGIMS) Blood Bank",Haryana,ROHTAK,Rohtak,"Medical Road, Maharishi Dayanand University,
Rohtak",124001,"01262 211306, 01262 212306,  01262 281 304",9467355771,,,bloodbankpgimsrtk7@gmail.com,http://pgimsrohtak.nic.in/
645,"General Hospital Blood Bank Sirsa",Haryana,SIRSA,Sirsa,"Room No 25, G.H Sirsa, Near Jhunthra Dharmsala Sirsa",125055,"01666241155, 01666 240122",9416657072,,,bbghsirsa@gmail.com,
646,"Shiv Shakti Blood Bank",Haryana,SIRSA,Sirsa,"Guru Gobind Singh Marg, B Block,Opposite to Valmiki Chowk",125055,"01666 234735, 01666 234117 ",9354884426,,,bloodsafety@yahoo.com,
647,"Bapu Maghar Singh Ji International Blood Bank",Haryana,SIRSA,Sirsa,"Shah Satnam Singh Ji Speciality Hospital, 
Nohar Bhadra Road,Shahpur Begu, Near Shah Satnam Ji Dham, Dera Sacha Sauda",125055,"0166 6238687, 01666238659",9416787411,,,dssbloodbank@gmail.com,http://www.ssjsh.com
648,"Bapu Maghar singh ji",Haryana,SIRSA,Sirsa,Sirsa,0,,0,,,,
649,"General Hospital Blood Bank Sonipat",Haryana,SONIPAT,Sonipat,"Delhi Road, Near Maharana Pratap Chowk",131001,"0130 2231931",9254300938,,,"bloodbankchsnp@gmail.com, dr.sukhbirsingh55@yahoo.com",
650,"Sonipat Blood Bank",Haryana,SONIPAT,Sonipat,"Near Saxsena Hospital, Sector-14
TO Scheme No. -15",131001,"0130 2218999",9254300938,,,sonipatbloodbank@gmail.com,
651,"Bhagat Phool Singh Government Medical College for Women Blood Bank",Haryana,SONIPAT,Sonipat,"Kanpur Kalan, Sonipat",131305,"01263 283041, 01263 283063",8607010701,,,drvermasanjay04@gmail.com,
652,"Shree MAA Blood Bank",Haryana,YAMUNANAGAR,Jagadhri,"1st Floor, Goel Hospital, Jagadhri, Yamunanagar.
Opp Sapphire hotel, railway road, Near Krishna Bajaj auto agency",135003,"01732 646206",9416316102,,,shrimaabloodbank@gmail.com,
653,"MLGH Trauma Centre Yamuna Nagar Blood Bank ",Haryana,YAMUNANAGAR,Yamunanagar,"Civil Hospital Blood Bank, Jagadhari, Above Trauma Center, 
Yamunanagar",135001,"0173 220 0106",9466359077,,,bloodbanktcynr@gmail.com,
654,"Bilaspur Regional Hospital Blood bank","Himachal Pradesh",BILASPUR,Bilaspur,"Changer Sector Bilaspur, Near D.C.Office Bilaspur",174001,1978221080,9816028926,,1978222586,ltranjeet926@gmail.com,
655,"Chamba Regional Hospital Blood Bank ","Himachal Pradesh",CHAMBA,Chamba,"Regional Hospital, Chamba",176310,"01899 222210",9418069485,,"01899 223010",,
656,"Bhota Charitable Hospital Blood Bank","Himachal Pradesh",HAMIRPUR,Bhota,Hamirpur,176041,"01972 255096",9418497878,,,"bhota@mjsmrs.net ",
657,"Hamirpur Regional Hospital Blood bank","Himachal Pradesh",HAMIRPUR,Hamirpur," Agriculture Colony, Hamirpur,",177001,"01972 222223",9418096596,,,bbohomirpurhp@gmail.com,
658," Dharamshala Zonal Hospital Blood Bank","Himachal Pradesh",KANGRA,Dharamshala,"Zonal Hospital, Dharamshala",176215,"01892 227595",9418137766,,"01892 224812",bbankzhdshala215@gmail.com,http://www.zhdharamshala.in/
659,"Dr Rajendra Prasad Government Medical College (RPGMC) Blood Bank Tanda","Himachal Pradesh",KANGRA,Kangra,"Dr. Rajendra Prasad Government Medical College, Kangra at Tanda",176001,1892267114,8988159250,,,tncbbank@gmail.com,
660,"Military Hospital,Yol Cant, Kangra","Himachal Pradesh",KANGRA,Kangra,"Yol Cantt, Kangra",176052,,9882435845,,,,
661,"Civil Hospital Blood Bank Palampur","Himachal Pradesh",KANGRA,Palampur,"Civil Hospital, Palampur, Kangra",176061,"01894 234101",9418462877,,"01894 234101",bloodbankplp@gmail.com,
662,"Reckong Peo Regional Hospital Blood Bank ","Himachal Pradesh",KINNAUR,"Reckong Peo","Reckong Peo, Kinnaur, Himachal Pradesh
",172107,"01786 222922",0,,,bbrhpeo@gmail.com,
663,"Kullu Regional Hospital Blood Bank ","Himachal Pradesh",KULLU,Dhapur,"R.No. 320, Kullu Regional Hospital ",175101,"01902 224778",1902,,"01902 224778",lackullu@gmail.com,
664,"Netaji Subhash Chander Bose Zonal Hospital Blood Bank","Himachal Pradesh",MANDI,Mandi,"Netaji Subhash Chander Bose Zonal Hospital, Mandi",175001,"01905 222213",9418316416,,"01905 225930",aripooja.ar@gmail.com,
665,"Rohru Civil Hospital Blood Bank ","Himachal Pradesh",SHIMLA,Rohru,"Rohru, Shimla",171207,"01781 240011",9418084314,,"01781 240011",smorohru@gmail.com,
666,"Indira Gandhi Medical College Blood Bank Shimla","Himachal Pradesh",SHIMLA,Shimla,"Department of BT and IH, Indira Gandhi Medical College, 
Near Lakkar Bazar",171001,"0177 2883440",9418091908,,"0177 2658339",bbigmc@gmail.com,
667,"Deen Dayal Updhayay Hospital Blood Bank","Himachal Pradesh",SHIMLA,Shimla,"DDU Complex, Shimla",171001,"0177 2658940",9418462397,,,,
668,"Kamla Nehru Hospital Blood Bank","Himachal Pradesh",SHIMLA,Shimla,"Kamla Nehru Hospital, NH-22, Near Mall Road",171001,"0177 2624081",9418173271,,,bbknhsml@gmail.com,
669,"Mahatma Gandhi Medical Services Blood Bank Rampur","Himachal Pradesh",SHIMLA,Shimla,"Mahatma Gandhi Medical Services Blood Bank Rampur,
Near Jakh Institute of Nursing",172001,"01782 233969",9418470772,,"01782 234969",padam0108ps@gmail.com,
670,"Nahan Regional Hospital Blood Bank ","Himachal Pradesh",SIRMAUR,Nahan,"Regional Hospital, Nahan ",173001,"01702 223344",9418087764,,"01702 224890",,
671,"Malhotra Super Speciality Hospital Blood Bank ","Himachal Pradesh",SOLAN,Baddi,"(A Unit of Malhotra Clinics Private Limited), SCO No. 8, Himuda Bhatoli Kalan, Opp.- Mahavir Spinning Mills, Baddi",173205,"01795 275009",9816020120,,1795275010,drmukeshmalhotra@gmail.com,
672,"Maharishi Markendeshwar Medical College and Hospital Blood Bank","Himachal Pradesh",SOLAN,Lado,"LADO, Sultanpur Road, Kumarhatti, Solan
",173229,"01792 395175",0,,,msoffice@mmusolan.org,
673," Solan Regional Hospital Blood Bank","Himachal Pradesh",SOLAN,Solan,"Regional Hospital, Near Lakkar Bazar, Tank Road",173212,"01792 220159",9418483517,,1792224181,safebloodrhs@gmail.com,
674,"Una Regional Hospital Blood Bank ","Himachal Pradesh",UNA,Una,"Regional Hospital, Una",174303,"01975 226064",9805411234,,"01975 226064",bloodbankuna2@gmail.com,
675,"MMAB memorial District Hospital  Blood Bank Anantnag","Jammu and Kashmir",ANANTNAG,Anantnag,"MMAB memorial Blood Bank, Janglat Mandi, District Hospital, Anantnag",192101,"01923 222170",1923,,"01923 222170",,
676,"Baramulla District Hospital Blood Bank","Jammu and Kashmir",BARAMULLA,Baramulla,"District Hospital, Kanthbagh, Baramulla",193101,"01952 234203",9797218141,,1952234203,bbankdhbla@gmail.com,
677,"Chodana Sub-District Hospital Blood Bank","Jammu and Kashmir",Budgam," Budgam ","Sub-District Hospital, Chadoora, Budgam",191113,"01951 257236",9596301711,"01951 257236","01951 256236",,
678,"Budgam District Hospital Blood Bank ","Jammu and Kashmir",Budgam,"Budgam ","ASYM District Hospital Campus, Near District Court Complex",191111,1951255238,9419035800,"01951 255237",,medsupdhb@gmail.com,
679,"Doda District Hospital Blood Bank ","Jammu and Kashmir",DODA,Doda,"District Hospital, Doda",182202,"01996 233689",9419168144,"01996 233689",,,
680,"District Hospital Blood Bank Ganderbal ","Jammu and Kashmir",GANDERBAL,Ganderbal,Ganderbal,191201,"0194 2416158",0,,,,
681,"Government Hospital Blood Bank Gandhi Nagar","Jammu and Kashmir",JAMMU," Jammu ","Government Hospital, Gandhi Nagar, Jammu",180001,"0191 2430041 ",9419187114,"0191 2430041 ","0191 2430041 ",,
682,"Government Medical College and Hospital Blood Bank","Jammu and Kashmir",JAMMU,"Jammu ","Government Medical College and Hospital, Mahesh Pura Chowk, Bakshi Nagar",180001,"0191 2584290, 0191 2584291, 0191 2584292",9419184710,,"0191 2584234",sawhney.461@rediffmail.com,http://www.gmcjammu.nic.in
683,"Sri Maharaja Gulab Singh (SMGS) Hospital Blood Bank","Jammu and Kashmir",JAMMU,"Jammu ","Shalamar Road, Indra Chowk, Jammu",180001,"0191 2547635, 0191 2547639",0,"0191 2547635","0191 2584247",,http://gmcjammu.nic.in/smgs.aspx
684,"Bee Enn General Hospital Blood Bank","Jammu and Kashmir",JAMMU,"Jammu ","Garden Avenue, Bhagwati Nagar, Talab Tillo, Jammu",180002,1912555631,0,,1912552086,bngh@beengroup.com,http://www.beeenngroup.com/
685,"Sainik Asptal Blood Bank Satwari","Jammu and Kashmir",JAMMU,Satwari,"166, Military Hospital, C/o. 56 APO",180003,"0191 2456006",0,,"0191 2457168",,
686,"Acharya Shri Chander College of Medical Sciences and Hospital Blood Bank","Jammu and Kashmir",JAMMU,Sidhara,"Acharya Shri Chander College of Medical Sciences and Hospital, N.H ByPass P.O Majeen",180017,"0191 2662324",0,,,,
687,"Kargil District Hospital (Kargil Ladakh Kashmir Division) Blood Bank ","Jammu and Kashmir",KARGIL,"Kargil ","District Hospital, Kargil Ladakh Kashmir Division, Jammu and Kashmir",194103,001985-232213,9419888523,,,,
688,"Kathua District Hospital Blood Bank ","Jammu and Kashmir",KATHUA,"Kathua ","District Hospital, Kathua ",184102,"01922 234323",9419176206,,"01922 234323",,
689,"Kishtwar District Hospital Blood Bank  ","Jammu and Kashmir",KISHTWAR,"Kishtwar ","District Hospital, Near Bus stand Kishtwar.",182204,"01995 261410",9018497123,,1995261410,bloodbankkishtwar@gmail.com,
690,"Kulgam District Hospital Blood Bank ","Jammu and Kashmir",KULGAM,"Kulgam ","Kulgam Quzigund Road, opposite to Fruit mandi Kulgam",192231,"01931 260398",9622749024,"01931 260398",,,
691,"Handwara District Hospital Blood Bank","Jammu and Kashmir",KUPWARA,Handwara,"Handwara Hwy, Shaheen Colony, Durashpora, Handwara",193221,"01955 262054  ",9622221424,,"01955 262054  ",d.r.randwara@gmail.com,
692,"General Hospital Blood Bank","Jammu and Kashmir","LEH LADAKH",Leh,"153, General Hospital, C/o. 56 APO, Leh Ladakh ",194101,"01982 254746",9906982587,,,,
693,"SNM Hospital Blood Bank","Jammu and Kashmir","LEH LADAKH","Leh ","SNM Hospital, Main Bazar, Leh",194101,"01982 252014",9622181045,,,,
694,"Raja Sukhdev Singh District Hospital Poonch","Jammu and Kashmir",POONCH,Haveli,"District Hospital, Poonch",185101,"01965 220152, 01965 220656",941,,"01965 220152",zabas63@gmail.com,
695,"Pulwama District Hospital Blood Bank ","Jammu and Kashmir",PULWAMA,Pulwama,"District Hospital, Pulwama",192301,"01933 241530",9419757644,,"01933 241530",bbdhpulwama@gmail.com,
696,"General Hospital Blood Bank (Army)","Jammu and Kashmir",RAJOURI," Rajouri ","150, General Hospital, Rajouri",185131,"01962 263921 ",9596711669,,,,
697,"Rajouri District Hospital Blood Bank ","Jammu and Kashmir",RAJOURI,Rajouri,"District Hospital,  kheora, Rajouri
",185131,"01962 263209",9419267266,"01962 263209","01962 263209",,
698,"Ramban District Hospital Blood Bank ","Jammu and Kashmir",RAMBAN,Ramban,"NH1A, Upper Bazaar, Ramban,",182144,"01988 266908",9419211432,,"01988 266908",,
699,"District Hospital Blood Bank Sambha ","Jammu and Kashmir",SAMBA,Samba,"District Hospital, Near Sabzi Mandi, Samba",184121,9419118345,0,,,,
700,"District Hospital Blood Bank Shopian ","Jammu and Kashmir",SHOPIAN,Shopian,Shopian,192303,"01933 261845",9906691206,,,,
701,"Shri Maharaja Hari Singh (SMHS) Hospital Blood Bank","Jammu and Kashmir",SRINAGAR," Srinagar ","SMHS Road, Near Gold Market, Karan Nagar, Srinagar, ",190010,"0194 2504801, 0194 2504802 (Extn. 512) ",9419466823,,"0914 2504798",bloodbanksmhshospitalsgr@gmail.com,
702,"92 Base Hospital Blood Bank","Jammu and Kashmir",SRINAGAR," Srinagar            ","92 Base Hospital, C/o. 56 APO,  Badami Bagh, Srinagar",190004,"0194 24660009 (Extn. 6528)",9419025840,,,yes,
703,"Sher-I-Kashmir Institute of Medical Sciences (SKIMS) Blood bank","Jammu and Kashmir",SRINAGAR,"Srinagar ","Sher-I-Kashmir Institute of Medical Sciences (SKIMS), 
Anchar, Soura, Srinagar",190011,"0194 2401013",9419081023,,,bloodtransfusion@skims.in,http://www.skims.ac.in/
704," Government Lal Ded Hospital Blood Bank","Jammu and Kashmir",SRINAGAR,"Srinagar            ","Wazirbagh, Srinagar GPO, Srinagar",190001,"0194 2313714, 0194 2313716",9797937999,"0194 2313714","0194 2313720, 0194 2313721",,http://www.gmcs.edu.in
